entry,additive,aryl_halide,base,ligand,yield
1,0,1,1,1,26.8886154
2,0,2,1,1,24.0632241
3,0,3,1,1,47.51582059
4,0,4,1,1,2.126831127
5,0,5,1,1,47.58635419
6,0,6,1,1,50.06002592
7,0,7,1,1,26.62339329
8,0,8,1,1,71.96255996
9,0,9,1,1,73.69723373
10,0,10,1,1,17.98570951
11,0,11,1,1,21.4883356
12,0,12,1,1,21.32776371
13,0,13,1,1,49.05978648
14,0,14,1,1,13.60707235
15,0,15,1,1,75.73922794
16,0,0,1,1,0
17,0,1,2,1,20.67171682
18,0,2,2,1,37.06517611
19,0,3,2,1,40.10891679
20,0,4,2,1,1.571873729
21,0,5,2,1,13.57958799
22,0,6,2,1,19.5845705
23,0,7,2,1,5.831100664
24,0,8,2,1,34.70564689
25,0,9,2,1,33.31429413
26,0,10,2,1,28.19737429
27,0,11,2,1,51.62190853
28,0,12,2,1,55.27637145
29,0,13,2,1,14.11609154
30,0,14,2,1,28.41522329
31,0,15,2,1,41.52339687
32,0,0,2,1,0
33,0,1,3,1,15.77189806
34,0,2,3,1,32.02769538
35,0,3,3,1,43.17090647
36,0,4,3,1,1.534950141
37,0,5,3,1,11.11065538
38,0,6,3,1,27.55018583
39,0,7,3,1,7.170837693
40,0,8,3,1,30.19903029
41,0,9,3,1,66.74950767
42,0,10,3,1,29.58712422
43,0,11,3,1,54.89834317
44,0,12,3,1,67.3026444
45,0,13,3,1,13.51744578
46,0,14,3,1,33.44897797
47,0,15,3,1,50.16438472
48,0,0,3,1,0
49,2,1,1,1,10.65781182
50,2,2,1,1,14.7478961
51,2,3,1,1,18.27868619
52,2,4,1,1,2.475057616
53,2,5,1,1,6.119058475
54,2,6,1,1,5.449924218
55,2,7,1,1,7.802080337
56,2,8,1,1,14.23417841
57,2,9,1,1,15.41389344
58,2,10,1,1,9.46569581
59,2,11,1,1,15.23875818
60,2,12,1,1,19.59428889
61,2,13,1,1,7.787908452
62,2,14,1,1,9.677591971
63,2,15,1,1,13.17521743
64,2,0,1,1,0
65,2,1,2,1,14.01864146
66,2,2,2,1,30.5912617
67,2,3,2,1,38.15573638
