entry,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,yield
1728,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105,29.4
1729,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105,44.61
1730,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105,50.33
1731,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105,29.32
1732,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,105,5.73
1733,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,105,3.99
1734,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,105,5.68
1735,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,105,3.31
1736,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,105,2.4
1737,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,105,1.66
1738,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,105,2.35
1739,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,105,1.42
1740,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,105,1.71
1741,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,105,1.03
1742,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,105,2.68
1743,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,105,1.07
1744,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,120,31.45
1745,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,120,57.51
1746,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,120,59.71
1747,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,120,37.54
1748,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,120,9.88
1749,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,120,7.49
1750,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,120,10.48
1751,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.1,120,5.09
1752,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,120,2.19
1753,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,120,2.89
1754,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,120,2.49
1755,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,120,2.39
1756,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,120,5.79
1757,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,120,3.09
1758,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,120,6.39
1759,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,120,0.0
1760,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,90,4.19
