ligand_file_name,ligand_SMILES,ligand_stoichiometry,ligand_number_of_atoms,ligand_charge,ligand_multiplicity,ligand_convergence_criteria,ligand_dipole,ligand_molar_mass,ligand_molar_volume,ligand_electronic_spatial_extent,ligand_homo_energy,ligand_lumo_energy,ligand_electronegativity,ligand_hardness,ligand_electrophilicity,ligand_E_scf,ligand_zero_point_correction,ligand_E_thermal_correction,ligand_H_thermal_correction,ligand_G_thermal_correction,ligand_E_zpe,ligand_E,ligand_H,ligand_G,ligand_ES_root_dipole,ligand_ES_root_molar_volume,ligand_ES_root_electronic_spatial_extent,ligand_ES1_transition,ligand_ES1_osc_strength,ligand_ES1_<S**2>,ligand_ES2_transition,ligand_ES2_osc_strength,ligand_ES2_<S**2>,ligand_ES3_transition,ligand_ES3_osc_strength,ligand_ES3_<S**2>,ligand_ES4_transition,ligand_ES4_osc_strength,ligand_ES4_<S**2>,ligand_ES5_transition,ligand_ES5_osc_strength,ligand_ES5_<S**2>,ligand_ES6_transition,ligand_ES6_osc_strength,ligand_ES6_<S**2>,ligand_ES7_transition,ligand_ES7_osc_strength,ligand_ES7_<S**2>,ligand_ES8_transition,ligand_ES8_osc_strength,ligand_ES8_<S**2>,ligand_ES9_transition,ligand_ES9_osc_strength,ligand_ES9_<S**2>,ligand_ES10_transition,ligand_ES10_osc_strength,ligand_ES10_<S**2>,ligand_c_min_atom_number,ligand_c_min_atom,ligand_c_min_atom=N,ligand_c_min_atom=C,ligand_c_min_atom=O,ligand_c_min_Mulliken_charge,ligand_c_min_APT_charge,ligand_c_min_NPA_charge,ligand_c_min_NPA_core,ligand_c_min_NPA_valence,ligand_c_min_NPA_Rydberg,ligand_c_min_NPA_total,ligand_c_min_NMR_shift,ligand_c_min_NMR_anisotropy,ligand_c_min_ES_root_Mulliken_charge,ligand_c_min_ES_root_NPA_charge,ligand_c_min_ES_root_NPA_core,ligand_c_min_ES_root_NPA_valence,ligand_c_min_ES_root_NPA_Rydberg,ligand_c_min_ES_root_NPA_total,ligand_c_min+1_atom_number,ligand_c_min+1_atom,ligand_c_min+1_atom=C,ligand_c_min+1_atom=O,ligand_c_min+1_Mulliken_charge,ligand_c_min+1_APT_charge,ligand_c_min+1_NPA_charge,ligand_c_min+1_NPA_core,ligand_c_min+1_NPA_valence,ligand_c_min+1_NPA_Rydberg,ligand_c_min+1_NPA_total,ligand_c_min+1_NMR_shift,ligand_c_min+1_NMR_anisotropy,ligand_c_min+1_ES_root_Mulliken_charge,ligand_c_min+1_ES_root_NPA_charge,ligand_c_min+1_ES_root_NPA_core,ligand_c_min+1_ES_root_NPA_valence,ligand_c_min+1_ES_root_NPA_Rydberg,ligand_c_min+1_ES_root_NPA_total,ligand_c_max_atom_number,ligand_c_max_atom,ligand_c_max_atom=P,ligand_c_max_Mulliken_charge,ligand_c_max_APT_charge,ligand_c_max_NPA_charge,ligand_c_max_NPA_core,ligand_c_max_NPA_valence,ligand_c_max_NPA_Rydberg,ligand_c_max_NPA_total,ligand_c_max_NMR_shift,ligand_c_max_NMR_anisotropy,ligand_c_max_ES_root_Mulliken_charge,ligand_c_max_ES_root_NPA_charge,ligand_c_max_ES_root_NPA_core,ligand_c_max_ES_root_NPA_valence,ligand_c_max_ES_root_NPA_Rydberg,ligand_c_max_ES_root_NPA_total,ligand_c_max-1_atom_number,ligand_c_max-1_atom,ligand_c_max-1_atom=C,ligand_c_max-1_atom=H,ligand_c_max-1_atom=P,ligand_c_max-1_Mulliken_charge,ligand_c_max-1_APT_charge,ligand_c_max-1_NPA_charge,ligand_c_max-1_NPA_core,ligand_c_max-1_NPA_valence,ligand_c_max-1_NPA_Rydberg,ligand_c_max-1_NPA_total,ligand_c_max-1_NMR_shift,ligand_c_max-1_NMR_anisotropy,ligand_c_max-1_ES_root_Mulliken_charge,ligand_c_max-1_ES_root_NPA_charge,ligand_c_max-1_ES_root_NPA_core,ligand_c_max-1_ES_root_NPA_valence,ligand_c_max-1_ES_root_NPA_Rydberg,ligand_c_max-1_ES_root_NPA_total,ligand_c_min_%VBur,ligand_c_min+1_%VBur,ligand_c_max_%VBur,ligand_c_max-1_%VBur
AmPhos-1,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.1895,265.3777,2622.45,6493.697,-0.18827,0.00332,0.092475,0.09579499999999999,0.09579499999999999,-1022.65949493,0.411608,0.433505,0.43445,0.362166,-1022.247887,-1022.22599,-1022.225045,-1022.297329,3.7074,3009.857,6484.0626,271.64,0.0487,0.000,263.26,0.0175,0.000,253.94,0.0696,0.000,244.74,0.4468,0.000,201.52,0.0949,0.000,199.75,0.0363,0.000,194.84,0.0814,0.000,189.94,0.0117,0.000,186.53,0.2934,0.000,185.79,0.2400,0.000,14,N,1,0,0,-0.470872,-0.964372,-0.44184,1.99933,5.43146,0.01105,7.44184,202.2667,83.7439,-0.419180,-0.30439,1.99933,5.29440,0.01067,7.30439,3,C,1,0,-0.448629,0.006975,-0.67734,1.99935,4.66635,0.01165,6.67734,163.1846,30.0956,-0.446835,-0.67792,1.99934,4.66672,0.01186,6.67792,5,P,1,0.362035,0.584305,0.84446,9.99855,4.11805,0.03894,14.15554,323.3578,54.0921,0.406199,0.95217,9.99827,4.00729,0.04228,14.04783,13,C,1,0,0,0.363606,0.692282,0.18524,1.99904,3.79741,0.01831,5.81476,49.7483,154.0430,0.339237,0.15423,1.99903,3.82629,0.02045,5.84577,0.6618664111852939,0.597018053351696,0.8015628274602556,0.6789018292865482
AmPhos-2,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.1905,265.3777,2026.393,6493.7212,-0.18826,0.00332,0.09247000000000001,0.09579,0.09579,-1022.6594949,0.411607,0.433505,0.434449,0.362162,-1022.247888,-1022.22599,-1022.225046,-1022.297333,3.7166,2830.99,6484.0776,271.64,0.0487,0.000,263.26,0.0175,0.000,253.94,0.0696,0.000,244.74,0.4469,0.000,201.51,0.0949,0.000,199.75,0.0362,0.000,194.84,0.0815,0.000,189.95,0.0116,0.000,186.52,0.2932,0.000,185.79,0.2403,0.000,14,N,1,0,0,-0.470877,-0.964457,-0.44182,1.99933,5.43145,0.01105,7.44182,202.2787,83.7798,-0.419144,-0.30426,1.99933,5.29426,0.01066,7.30426,3,C,1,0,-0.448629,0.006978,-0.67734,1.99935,4.66635,0.01165,6.67734,163.1842,30.0944,-0.446827,-0.67792,1.99934,4.66672,0.01186,6.67792,5,P,1,0.362023,0.584341,0.84445,9.99855,4.11806,0.03894,14.15555,323.3575,54.0814,0.406038,0.95180,9.99827,4.00766,0.04227,14.04820,13,C,1,0,0,0.363615,0.692375,0.18525,1.99904,3.79740,0.01831,5.81475,49.7548,154.0391,0.339244,0.15423,1.99903,3.82629,0.02045,5.84577,0.6618364719619172,0.5971078710218256,0.8015328882368791,0.6788419508397951
AmPhos-5,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.1907,265.3777,2562.859,6493.699,-0.18825,0.00332,0.092465,0.095785,0.095785,-1022.65949493,0.411606,0.433505,0.434449,0.362161,-1022.247889,-1022.22599,-1022.225046,-1022.297334,3.7186,2145.65,6484.0535,271.65,0.0487,0.000,263.25,0.0176,0.000,253.94,0.0698,0.000,244.74,0.4467,0.000,201.51,0.0948,0.000,199.75,0.0363,0.000,194.84,0.0815,0.000,189.95,0.0117,0.000,186.52,0.2933,0.000,185.78,0.2401,0.000,14,N,1,0,0,-0.470882,-0.964474,-0.44182,1.99933,5.43144,0.01105,7.44182,202.2828,83.8018,-0.419144,-0.30422,1.99933,5.29423,0.01066,7.30422,7,C,1,0,-0.448628,0.006976,-0.67734,1.99935,4.66635,0.01165,6.67734,163.1843,30.0953,-0.446825,-0.67792,1.99934,4.66672,0.01186,6.67792,5,P,1,0.362032,0.584321,0.84445,9.99855,4.11806,0.03894,14.15555,323.3603,54.0855,0.406014,0.95171,9.99827,4.00775,0.04227,14.04829,13,C,1,0,0,0.363623,0.692390,0.18525,1.99904,3.79740,0.01831,5.81475,49.7575,154.0364,0.339254,0.15425,1.99903,3.82628,0.02045,5.84575,0.6617466542917876,0.5970479925750726,0.8015927666836322,0.6788718900631717
AmPhos-7,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.2138,265.3777,3056.126,6490.7998,-0.18822,0.00335,0.092435,0.095785,0.095785,-1022.65947276,0.411591,0.433498,0.434443,0.362126,-1022.247882,-1022.225974,-1022.22503,-1022.297347,3.9408,2314.347,6481.0001,271.55,0.0478,0.000,263.31,0.0159,0.000,253.97,0.0671,0.000,244.99,0.4505,0.000,201.47,0.0974,0.000,199.72,0.0326,0.000,194.84,0.0815,0.000,189.96,0.0103,0.000,186.53,0.3368,0.000,185.75,0.1917,0.000,14,N,1,0,0,-0.470884,-0.967277,-0.44177,1.99933,5.43141,0.01103,7.44177,202.4172,84.1184,-0.418402,-0.30175,1.99933,5.29178,0.01064,7.30175,7,C,1,0,-0.448510,0.007573,-0.67731,1.99935,4.66633,0.01164,6.67731,163.1667,30.0514,-0.446540,-0.67787,1.99934,4.66669,0.01184,6.67787,5,P,1,0.362001,0.584828,0.84445,9.99855,4.11806,0.03894,14.15555,323.4053,54.2754,0.402384,0.94310,9.99828,4.01642,0.04221,14.05690,13,C,1,0,0,0.363612,0.693869,0.18528,1.99904,3.79738,0.01831,5.81472,49.7788,154.0335,0.339227,0.15413,1.99903,3.82640,0.02044,5.84587,0.6621358641956827,0.5976168378192269,0.8020119158109038,0.6780934702553816
AmPhos-9,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.2143,265.3777,2581.423,6490.6638,-0.18821,0.00336,0.092425,0.095785,0.095785,-1022.65947285,0.411591,0.433498,0.434443,0.362124,-1022.247882,-1022.225974,-1022.22503,-1022.297349,3.9466,2789.123,6480.8585,271.56,0.0478,0.000,263.30,0.0159,0.000,253.96,0.0673,0.000,244.98,0.4502,0.000,201.46,0.0973,0.000,199.73,0.0326,0.000,194.84,0.0815,0.000,189.96,0.0103,0.000,186.52,0.3366,0.000,185.75,0.1918,0.000,14,N,1,0,0,-0.470878,-0.967320,-0.44176,1.99933,5.43140,0.01103,7.44176,202.4265,84.1476,-0.418374,-0.30166,1.99933,5.29169,0.01064,7.30166,7,C,1,0,-0.448507,0.007575,-0.67731,1.99935,4.66632,0.01164,6.67731,163.1667,30.0521,-0.446533,-0.67787,1.99934,4.66669,0.01184,6.67787,5,P,1,0.362011,0.584824,0.84445,9.99855,4.11805,0.03894,14.15555,323.4098,54.2826,0.402296,0.94286,9.99828,4.01666,0.04220,14.05714,13,C,1,0,0,0.363608,0.693892,0.18528,1.99904,3.79737,0.01831,5.81472,49.7826,154.0317,0.339227,0.15415,1.99903,3.82638,0.02044,5.84585,0.6620460465255531,0.5976467770426034,0.8019520373641508,0.678123409478758
AmPhos-12,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.2149,265.3777,2522.096,6490.7507,-0.18821,0.00336,0.092425,0.095785,0.095785,-1022.65947282,0.41159,0.433498,0.434442,0.362121,-1022.247883,-1022.225975,-1022.225031,-1022.297352,3.9433,2284.723,6480.9487,271.56,0.0478,0.000,263.31,0.0159,0.000,253.97,0.0672,0.000,244.99,0.4504,0.000,201.46,0.0973,0.000,199.73,0.0326,0.000,194.84,0.0815,0.000,189.97,0.0103,0.000,186.52,0.3373,0.000,185.75,0.1911,0.000,14,N,1,0,0,-0.470891,-0.967352,-0.44175,1.99933,5.43139,0.01103,7.44175,202.4308,84.1693,-0.418407,-0.30171,1.99933,5.29174,0.01064,7.30171,3,C,1,0,-0.448509,0.007576,-0.67731,1.99935,4.66632,0.01164,6.67731,163.1677,30.0528,-0.446539,-0.67787,1.99934,4.66669,0.01184,6.67787,5,P,1,0.362000,0.584835,0.84445,9.99855,4.11805,0.03894,14.15555,323.4096,54.2736,0.402364,0.94305,9.99828,4.01647,0.04221,14.05695,13,C,1,0,0,0.363622,0.693949,0.18529,1.99904,3.79737,0.01831,5.81471,49.7860,154.0282,0.339241,0.15415,1.99903,3.82638,0.02044,5.84585,0.6620161073021765,0.5975569593724739,0.8019520373641508,0.678123409478758
AmPhos-17,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.1898,265.3777,2503.252,6493.6562,-0.18826,0.00332,0.09247000000000001,0.09579,0.09579,-1022.65949493,0.411608,0.433505,0.43445,0.362166,-1022.247887,-1022.22599,-1022.225045,-1022.297329,3.7102,2562.853,6484.0197,271.64,0.0487,0.000,263.26,0.0175,0.000,253.94,0.0696,0.000,244.74,0.4468,0.000,201.51,0.0949,0.000,199.75,0.0363,0.000,194.84,0.0814,0.000,189.94,0.0117,0.000,186.53,0.2931,0.000,185.79,0.2404,0.000,14,N,1,0,0,-0.470869,-0.964397,-0.44183,1.99933,5.43145,0.01105,7.44183,202.2713,83.7543,-0.419165,-0.30435,1.99933,5.29436,0.01067,7.30435,3,C,1,0,-0.448630,0.006974,-0.67734,1.99935,4.66635,0.01165,6.67734,163.1841,30.0944,-0.446833,-0.67792,1.99934,4.66672,0.01186,6.67792,5,P,1,0.362032,0.584304,0.84445,9.99855,4.11805,0.03894,14.15555,323.3607,54.0879,0.406148,0.95205,9.99827,4.00741,0.04227,14.04795,13,C,1,0,0,0.363606,0.692305,0.18524,1.99904,3.79741,0.01831,5.81476,49.7504,154.0428,0.339234,0.15423,1.99903,3.82629,0.02045,5.84577,0.6618963504086703,0.5969881141283195,0.8015628274602556,0.6789617077333014
AmPhos-18,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,46,0,1,met,3.1896,265.3777,2294.668,6493.6396,-0.18827,0.00332,0.092475,0.09579499999999999,0.09579499999999999,-1022.65949494,0.411608,0.433506,0.43445,0.362166,-1022.247887,-1022.225989,-1022.225045,-1022.297329,3.7077,2413.872,6484.0054,271.64,0.0487,0.000,263.26,0.0175,0.000,253.94,0.0697,0.000,244.74,0.4468,0.000,201.51,0.0949,0.000,199.75,0.0363,0.000,194.84,0.0814,0.000,189.94,0.0117,0.000,186.53,0.2933,0.000,185.79,0.2402,0.000,14,N,1,0,0,-0.470871,-0.964388,-0.44183,1.99933,5.43146,0.01105,7.44183,202.2682,83.7421,-0.419179,-0.30439,1.99933,5.29439,0.01067,7.30439,7,C,1,0,-0.448627,0.006975,-0.67734,1.99935,4.66635,0.01165,6.67734,163.1854,30.0951,-0.446835,-0.67792,1.99934,4.66672,0.01186,6.67792,5,P,1,0.362033,0.584289,0.84446,9.99855,4.11805,0.03894,14.15554,323.3619,54.0908,0.406194,0.95217,9.99827,4.00729,0.04227,14.04783,13,C,1,0,0,0.363608,0.692298,0.18524,1.99904,3.79741,0.01831,5.81476,49.7491,154.0425,0.339239,0.15423,1.99903,3.82629,0.02045,5.84577,0.6618664111852939,0.597018053351696,0.8015927666836322,0.6788419508397951
CataCXiumA-3,CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,C24H39P,64,0,1,met,1.1546,358.5459,3697.639,9567.9032,-0.20039,0.05073,0.07483000000000001,0.12556,0.12556,-1279.42825684,0.594301,0.616418,0.617362,0.544434,-1278.833956,-1278.811839,-1278.810894,-1278.883823,1.7142,3760.846,9574.5637,205.89,0.0609,0.000,198.38,0.1134,0.000,192.18,0.0228,0.000,175.69,0.0005,0.000,170.72,0.0585,0.000,169.47,0.0617,0.000,163.64,0.0210,0.000,162.84,0.0181,0.000,161.23,0.0107,0.000,160.63,0.0015,0.000,4,C,0,1,0,-0.482798,-0.111627,-0.76623,1.99934,4.75419,0.01269,6.76623,171.4500,13.1381,-0.472430,-0.81971,1.99929,4.80136,0.01906,6.81971,1,C,1,0,-0.446652,0.082796,-0.67806,1.99946,4.67095,0.00764,6.67806,176.3052,18.7411,-0.445151,-0.67995,1.99946,4.67267,0.00782,6.67995,5,P,1,0.415066,0.356490,0.85055,9.99869,4.11553,0.03523,14.14945,350.7685,72.7557,0.419516,1.09429,9.99771,3.83447,0.07353,13.90571,39,H,0,1,0,0.162518,-0.004561,0.24462,0.00000,0.75411,0.00126,0.75538,30.6156,6.9980,0.173712,0.25078,0.00000,0.74785,0.00137,0.74922,0.7376425855513308,0.45495643842998706,0.8187180024550164,0.6243226250711056
CataCXiumA-4,CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,C24H39P,64,0,1,met,1.1496,358.5459,3437.505,9799.3399,-0.20017,0.05117,0.0745,0.12567,0.12567,-1279.42938912,0.594135,0.616355,0.617299,0.544057,-1278.835254,-1278.813034,-1278.81209,-1278.885332,1.7054,3309.001,9805.8365,205.68,0.0593,0.000,199.45,0.1106,0.000,191.32,0.0236,0.000,175.65,0.0005,0.000,170.62,0.0671,0.000,166.89,0.0500,0.000,164.84,0.0086,0.000,164.09,0.0229,0.000,160.70,0.0131,0.000,160.43,0.0032,0.000,4,C,0,1,0,-0.479136,-0.102004,-0.76215,1.99935,4.75000,0.01281,6.76215,167.3684,18.7946,-0.468418,-0.81783,1.99930,4.79883,0.01970,6.81783,1,C,1,0,-0.443777,0.106351,-0.67337,1.99947,4.66641,0.00749,6.67337,173.6576,25.0723,-0.444496,-0.67443,1.99946,4.66726,0.00771,6.67443,5,P,1,0.413937,0.358537,0.85411,9.99869,4.11202,0.03518,14.14589,347.5501,60.6274,0.415139,1.09630,9.99771,3.83345,0.07254,13.90370,40,H,0,1,0,0.156760,-0.011321,0.24456,0.00000,0.75394,0.00151,0.75544,30.8560,8.0084,0.165318,0.24978,0.00000,0.74849,0.00173,0.75022,0.7139606598604832,0.4229514086404598,0.8097661746654291,0.5756713870842189
