sulfonyl_fluoride_file_name,sulfonyl_fluoride_SMILES
sulfonylfluoride_1,O=S(C1=CC=CC=C1)(F)=O
sulfonylfluoride_2,ClC1=CC=C(S(=O)(F)=O)C=C1
sulfonylfluoride_3,O=S(C1=CC=CC=N1)(F)=O
sulfonylfluoride_4,FC(C(F)(F)C(F)(F)S(=O)(F)=O)(F)C(F)(F)F
sulfonylfluoride_5,FC1=C(F)C(F)=C(S(=O)(F)=O)C(F)=C1F
sulfonylfluoride_6,O=S(CC1=CC=CC=C1)(F)=O
sulfonylfluoride_7,O=S(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(F)=O
sulfonylfluoride_8,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O
sulfonylfluoride_9,O=S(C1=CC=C(C)C=C1)(F)=O
sulfonylfluoride_10,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O
