"base_file_name","base_SMILES","base_stoichiometry","base_number_of_atoms","base_charge","base_multiplicity","base_convergence_criteria","base_dipole","base_molar_mass","base_molar_volume","base_electronic_spatial_extent","base_homo_energy","base_lumo_energy","base_electronegativity","base_hardness","base_electrophilicity","base_E_scf","base_zero_point_correction","base_E_thermal_correction","base_H_thermal_correction","base_G_thermal_correction","base_E_zpe","base_E","base_H","base_G","base_ES_root_dipole","base_ES_root_molar_volume","base_ES_root_electronic_spatial_extent","base_ES1_transition","base_ES1_osc_strength","base_ES1_<S**2>","base_ES2_transition","base_ES2_osc_strength","base_ES2_<S**2>","base_ES3_transition","base_ES3_osc_strength","base_ES3_<S**2>","base_ES4_transition","base_ES4_osc_strength","base_ES4_<S**2>","base_ES5_transition","base_ES5_osc_strength","base_ES5_<S**2>","base_ES6_transition","base_ES6_osc_strength","base_ES6_<S**2>","base_ES7_transition","base_ES7_osc_strength","base_ES7_<S**2>","base_ES8_transition","base_ES8_osc_strength","base_ES8_<S**2>","base_ES9_transition","base_ES9_osc_strength","base_ES9_<S**2>","base_ES10_transition","base_ES10_osc_strength","base_ES10_<S**2>","base_atom1_atom","base_atom1_Mulliken_charge","base_atom1_APT_charge","base_atom1_NPA_charge","base_atom1_NPA_core","base_atom1_NPA_valence","base_atom1_NPA_Rydberg","base_atom1_NPA_total","base_atom1_NMR_shift","base_atom1_NMR_anisotropy","base_atom1_ES_root_Mulliken_charge","base_atom1_ES_root_NPA_charge","base_atom1_ES_root_NPA_core","base_atom1_ES_root_NPA_valence","base_atom1_ES_root_NPA_Rydberg","base_atom1_ES_root_NPA_total","base_c_min_atom_number","base_c_min_atom","base_c_min_atom=N","base_c_min_Mulliken_charge","base_c_min_APT_charge","base_c_min_NPA_charge","base_c_min_NPA_core","base_c_min_NPA_valence","base_c_min_NPA_Rydberg","base_c_min_NPA_total","base_c_min_NMR_shift","base_c_min_NMR_anisotropy","base_c_min_ES_root_Mulliken_charge","base_c_min_ES_root_NPA_charge","base_c_min_ES_root_NPA_core","base_c_min_ES_root_NPA_valence","base_c_min_ES_root_NPA_Rydberg","base_c_min_ES_root_NPA_total","base_c_min+1_atom_number","base_c_min+1_atom","base_c_min+1_atom=C","base_c_min+1_atom=N","base_c_min+1_Mulliken_charge","base_c_min+1_APT_charge","base_c_min+1_NPA_charge","base_c_min+1_NPA_core","base_c_min+1_NPA_valence","base_c_min+1_NPA_Rydberg","base_c_min+1_NPA_total","base_c_min+1_NMR_shift","base_c_min+1_NMR_anisotropy","base_c_min+1_ES_root_Mulliken_charge","base_c_min+1_ES_root_NPA_charge","base_c_min+1_ES_root_NPA_core","base_c_min+1_ES_root_NPA_valence","base_c_min+1_ES_root_NPA_Rydberg","base_c_min+1_ES_root_NPA_total","base_c_max_atom_number","base_c_max_atom","base_c_max_atom=H","base_c_max_atom=C","base_c_max_atom=P","base_c_max_Mulliken_charge","base_c_max_APT_charge","base_c_max_NPA_charge","base_c_max_NPA_core","base_c_max_NPA_valence","base_c_max_NPA_Rydberg","base_c_max_NPA_total","base_c_max_NMR_shift","base_c_max_NMR_anisotropy","base_c_max_ES_root_Mulliken_charge","base_c_max_ES_root_NPA_charge","base_c_max_ES_root_NPA_core","base_c_max_ES_root_NPA_valence","base_c_max_ES_root_NPA_Rydberg","base_c_max_ES_root_NPA_total","base_c_max-1_atom_number","base_c_max-1_atom","base_c_max-1_atom=H","base_c_max-1_atom=C","base_c_max-1_Mulliken_charge","base_c_max-1_APT_charge","base_c_max-1_NPA_charge","base_c_max-1_NPA_core","base_c_max-1_NPA_valence","base_c_max-1_NPA_Rydberg","base_c_max-1_NPA_total","base_c_max-1_NMR_shift","base_c_max-1_NMR_anisotropy","base_c_max-1_ES_root_Mulliken_charge","base_c_max-1_ES_root_NPA_charge","base_c_max-1_ES_root_NPA_core","base_c_max-1_ES_root_NPA_valence","base_c_max-1_ES_root_NPA_Rydberg","base_c_max-1_ES_root_NPA_total","base_atom1_%VBur","base_c_min_%VBur","base_c_min+1_%VBur","base_c_max_%VBur","base_c_max-1_%VBur"
"base_1_conf1123","N1(CC2)CCC2CC1","C7H13N",21,0,1,"failed",1.0186,111.1864,970.487,801.6355,-0.20043,0.06956,0.065435,0.134995,0.134995,-329.310701412,0.196071,0.20259,0.203534,0.165498,-329.11463,-329.108112,-329.107168,-329.145203,0.9584,1106.962,808.0324,"194.40","0.0011","0.000","168.77","0.0173","0.000","168.77","0.0173","0.000","151.32","0.0120","0.000","147.23","0.0001","0.000","146.73","0.0328","0.000","146.73","0.0328","0.000","139.05","0.0042","0.000","139.04","0.0042","0.000","134.66","0.0036","0.000","N1","-0.372398","-0.577847","-0.50067","1.99953","5.48651","0.01463","7.50067","232.8344","21.6573","-0.206741","-0.11063","1.99930","5.09570","0.01563","7.11063","1","N",1,"-0.372398","-0.577847","-0.50067","1.99953","5.48651","0.01463","7.50067","232.8344","21.6573","-0.206741","-0.11063","1.99930","5.09570","0.01563","7.11063","5","C",1,0,"-0.279353","0.048099","-0.48668","1.99931","4.47457","0.01281","6.48668","160.8087","5.5196","-0.233880","-0.46275","1.99928","4.44731","0.01617","6.46275","9","H",1,0,0,"0.138385","-0.049241","0.23093","0.00000","0.76781","0.00126","0.76907","29.4970","9.0106","0.112198","0.20995","0.00000","0.76473","0.02533","0.79005","21","H",1,0,"0.138383","-0.049251","0.23093","0.00000","0.76781","0.00126","0.76907","29.4977","9.0059","0.112255","0.21000","0.00000","0.76469","0.02531","0.79000",0.6729738630579922,0.6729738630579922,0.5995329481153259,0.4284302865183677,0.4288494356456393
"base_10_conf1123","N12CCCN=C1NCCC2","C7H13N3",23,0,1,"met",2.9154,139.1998,1276.116,1447.7745,-0.192,0.05157,0.070215,0.121785,0.121785,-438.823919971,0.206813,0.215371,0.216315,0.173463,-438.617107,-438.608549,-438.607605,-438.650457,1.2977,1276.116,1450.2052,"206.01","0.0607","0.000","199.65","0.1242","0.000","183.97","0.0460","0.000","181.15","0.0890","0.000","174.04","0.0443","0.000","167.89","0.0166","0.000","163.33","0.0023","0.000","158.88","0.0023","0.000","157.61","0.0289","0.000","155.72","0.0404","0.000","N1","-0.521936","-0.848263","-0.59613","1.99936","5.57567","0.02111","7.59613","85.0001","231.0142","-0.462661","-0.37414","1.99912","5.35691","0.01811","7.37414","7","N",1,"-0.607624","-0.731941","-0.67375","1.99940","5.65991","0.01443","7.67375","180.6167","76.2899","-0.610060","-0.66946","1.99943","5.65399","0.01604","7.66946","5","N",0,1,"-0.521936","-0.848263","-0.59613","1.99936","5.57567","0.02111","7.59613","85.0001","231.0142","-0.462661","-0.37414","1.99912","5.35691","0.01811","7.37414","6","C",0,1,0,"0.668712","1.123882","0.61244","1.99922","3.35932","0.02903","5.38756","50.6300","101.2758","0.639114","0.41943","1.99926","3.54371","0.03760","5.58057","17","H",1,0,"0.323903","0.173216","0.41988","0.00000","0.57740","0.00272","0.58012","29.6211","11.1791","0.316197","0.40982","0.00000","0.58704","0.00313","0.59018",0.5404029819466483,0.5541750246998592,0.5404029819466483,0.6562977156372563,0.3957665938145564
"base_2_conf1123","CN1CCN2CCN(C)P1N(C)CC2","C9H21N4P",35,0,1,"met",1.4131,216.2655,1828.344,2683.3293,-0.17406,0.05864,0.05771,0.11635,0.11635,-915.916322453,0.313726,0.328959,0.329903,0.272837,-915.602596,-915.587363,-915.586419,-915.643485,3.9344,2133.068,2685.2445,"226.79","0.0284","0.000","213.26","0.0219","0.000","208.02","0.0121","0.000","206.65","0.0267","0.000","199.80","0.0008","0.000","197.09","0.0020","0.000","191.93","0.0027","0.000","188.13","0.0039","0.000","183.98","0.0004","0.000","183.54","0.0088","0.000","N1","-0.379646","-0.694477","-0.53419","1.99940","5.52092","0.01387","7.53419","244.7464","67.7363","-0.340513","-0.42328","1.99940","5.41122","0.01267","7.42328","2","N",1,"-0.544610","-0.891269","-0.83134","1.99946","5.81558","0.01631","7.83134","191.1868","59.9255","-0.513140","-0.79149","1.99944","5.77400","0.01805","7.79149","12","N",0,1,"-0.511490","-0.866420","-0.81728","1.99948","5.80193","0.01588","7.81728","211.3057","60.3691","-0.430430","-0.70243","1.99947","5.67887","0.02410","7.70243","1","P",0,0,1,"0.755452","1.276468","1.34959","9.99858","3.58061","0.07122","13.65041","248.1469","118.1306","0.480122","1.08859","9.99843","3.80940","0.10358","13.91141","33","H",1,0,"0.167692","0.015185","0.23838","0.00000","0.76074","0.00088","0.76162","28.9854","7.2941","0.171195","0.24125","0.00000","0.75787","0.00087","0.75875",0.7788688961408341,0.766024969312296,0.7489895512110416,0.744738181491572,0.3891200862249633
"base_3_conf10123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1548,171.285,1653.951,2398.9917,-0.2016,0.04029,0.080655,0.120945,0.120945,-519.829452359,0.300881,0.316644,0.317588,0.259211,-519.528571,-519.512808,-519.511864,-519.570241,1.1985,1980.388,2399.8947,"227.43","0.0042","0.000","206.72","0.1131","0.000","197.28","0.2789","0.000","190.79","0.0068","0.000","179.17","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.18","0.0148","0.000","158.53","0.0223","0.000","156.13","0.0095","0.000","N1","-0.475007","-0.851001","-0.58222","1.99926","5.56057","0.02239","7.58222","19.7212","285.3744","-0.425535","-0.33344","1.99898","5.31531","0.01914","7.33344","3","N",1,"-0.475007","-0.851001","-0.58222","1.99926","5.56057","0.02239","7.58222","19.7212","285.3744","-0.425535","-0.33344","1.99898","5.31531","0.01914","7.33344","1","N",0,1,"-0.417510","-0.766857","-0.52266","1.99934","5.51183","0.01149","7.52266","210.2966","59.8264","-0.398663","-0.45648","1.99935","5.44455","0.01258","7.45648","2","C",0,1,0,"0.569690","1.175520","0.62995","1.99917","3.33996","0.03092","5.37005","44.7794","69.4530","0.525245","0.37821","1.99913","3.58838","0.03428","5.62179","4","C",0,1,"0.203978","0.473434","0.12438","1.99911","3.85850","0.01800","5.87562","135.3674","31.4258","0.189158","0.09788","1.99908","3.88404","0.01901","5.90212",0.7233016975539655,0.7233016975539655,0.77327026136942,0.7625220801772401,0.7791084099278464
"base_3_conf11123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.155,171.285,1632.196,2399.0126,-0.20159,0.0403,0.080645,0.120945,0.120945,-519.829452358,0.300881,0.316644,0.317588,0.259211,-519.528571,-519.512809,-519.511864,-519.570242,1.1987,1741.009,2399.9158,"227.43","0.0042","0.000","206.72","0.1131","0.000","197.28","0.2789","0.000","190.80","0.0068","0.000","179.17","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.19","0.0148","0.000","158.53","0.0223","0.000","156.13","0.0095","0.000","N1","-0.475008","-0.851031","-0.58223","1.99926","5.56058","0.02239","7.58223","19.7292","285.3580","-0.425539","-0.33344","1.99898","5.31531","0.01914","7.33344","3","N",1,"-0.475008","-0.851031","-0.58223","1.99926","5.56058","0.02239","7.58223","19.7292","285.3580","-0.425539","-0.33344","1.99898","5.31531","0.01914","7.33344","1","N",0,1,"-0.417509","-0.766851","-0.52266","1.99934","5.51183","0.01149","7.52266","210.2993","59.8248","-0.398659","-0.45648","1.99935","5.44455","0.01258","7.45648","2","C",0,1,0,"0.569693","1.175575","0.62995","1.99917","3.33996","0.03092","5.37005","44.7814","69.4479","0.525253","0.37821","1.99913","3.58838","0.03428","5.62179","4","C",0,1,"0.203979","0.473444","0.12438","1.99911","3.85850","0.01800","5.87562","135.3674","31.4253","0.189160","0.09788","1.99908","3.88404","0.01901","5.90212",0.723331636777342,0.723331636777342,0.7733002005927966,0.7624921409538636,0.7791084099278464
"base_3_conf1123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1547,171.285,1828.031,2398.9783,-0.2016,0.04029,0.080655,0.120945,0.120945,-519.829452358,0.300882,0.316644,0.317588,0.259212,-519.52857,-519.512808,-519.511864,-519.57024,1.1982,1784.507,2399.8814,"227.43","0.0042","0.000","206.73","0.1131","0.000","197.28","0.2789","0.000","190.79","0.0068","0.000","179.17","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.18","0.0147","0.000","158.52","0.0223","0.000","156.13","0.0095","0.000","N1","-0.475002","-0.850970","-0.58222","1.99926","5.56056","0.02239","7.58222","19.7140","285.3865","-0.425523","-0.33341","1.99898","5.31528","0.01914","7.33341","3","N",1,"-0.475002","-0.850970","-0.58222","1.99926","5.56056","0.02239","7.58222","19.7140","285.3865","-0.425523","-0.33341","1.99898","5.31528","0.01914","7.33341","1","N",0,1,"-0.417501","-0.766843","-0.52265","1.99934","5.51182","0.01149","7.52265","210.2932","59.8258","-0.398668","-0.45651","1.99935","5.44457","0.01258","7.45651","2","C",0,1,0,"0.569688","1.175469","0.62995","1.99917","3.33996","0.03092","5.37005","44.7789","69.4575","0.525249","0.37821","1.99913","3.58838","0.03428","5.62179","4","C",0,1,"0.203975","0.473421","0.12438","1.99911","3.85850","0.01800","5.87562","135.3672","31.4259","0.189153","0.09788","1.99908","3.88404","0.01901","5.90212",0.7233016975539655,0.7233016975539655,0.7733301398161732,0.7624622017304871,0.7791084099278464
"base_3_conf12123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1546,171.285,2110.934,2398.9856,-0.2016,0.04029,0.080655,0.120945,0.120945,-519.829452361,0.300882,0.316644,0.317589,0.259214,-519.52857,-519.512808,-519.511864,-519.570238,1.1978,1806.263,2399.8892,"227.43","0.0042","0.000","206.73","0.1131","0.000","197.28","0.2788","0.000","190.79","0.0068","0.000","179.16","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.18","0.0147","0.000","158.52","0.0223","0.000","156.13","0.0095","0.000","N1","-0.474997","-0.850954","-0.58221","1.99926","5.56056","0.02239","7.58221","19.7166","285.3846","-0.425512","-0.33337","1.99898","5.31524","0.01914","7.33337","3","N",1,"-0.474997","-0.850954","-0.58221","1.99926","5.56056","0.02239","7.58221","19.7166","285.3846","-0.425512","-0.33337","1.99898","5.31524","0.01914","7.33337","1","N",0,1,"-0.417493","-0.766818","-0.52264","1.99934","5.51181","0.01149","7.52264","210.2894","59.8210","-0.398675","-0.45654","1.99935","5.44460","0.01258","7.45654","2","C",0,1,0,"0.569685","1.175445","0.62995","1.99917","3.33996","0.03092","5.37005","44.7802","69.4552","0.525255","0.37822","1.99913","3.58837","0.03428","5.62178","4","C",0,1,"0.203964","0.473416","0.12438","1.99911","3.85850","0.01800","5.87562","135.3670","31.4253","0.189143","0.09787","1.99908","3.88404","0.01901","5.90213",0.723331636777342,0.723331636777342,0.7734199574863028,0.7624921409538636,0.7790784707044699
"base_3_conf13123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1546,171.285,1828.019,2398.9834,-0.2016,0.04029,0.080655,0.120945,0.120945,-519.82945236,0.300883,0.316645,0.317589,0.259214,-519.52857,-519.512808,-519.511864,-519.570238,1.1976,1915.067,2399.8871,"227.43","0.0042","0.000","206.73","0.1131","0.000","197.28","0.2788","0.000","190.79","0.0068","0.000","179.16","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.18","0.0147","0.000","158.52","0.0223","0.000","156.13","0.0095","0.000","N1","-0.474998","-0.850951","-0.58222","1.99926","5.56056","0.02240","7.58222","19.7170","285.3860","-0.425508","-0.33336","1.99898","5.31523","0.01914","7.33336","3","N",1,"-0.474998","-0.850951","-0.58222","1.99926","5.56056","0.02240","7.58222","19.7170","285.3860","-0.425508","-0.33336","1.99898","5.31523","0.01914","7.33336","1","N",0,1,"-0.417490","-0.766822","-0.52264","1.99934","5.51181","0.01149","7.52264","210.2884","59.8205","-0.398679","-0.45655","1.99935","5.44462","0.01258","7.45655","2","C",0,1,0,"0.569687","1.175441","0.62995","1.99917","3.33996","0.03092","5.37005","44.7804","69.4559","0.525261","0.37822","1.99913","3.58837","0.03428","5.62178","4","C",0,1,"0.203963","0.473414","0.12438","1.99911","3.85850","0.01800","5.87562","135.3671","31.4253","0.189141","0.09787","1.99908","3.88404","0.01901","5.90213",0.723331636777342,0.723331636777342,0.7734199574863028,0.7624921409538636,0.7790784707044699
"base_3_conf14123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1549,171.285,1849.794,2398.9841,-0.2016,0.04029,0.080655,0.120945,0.120945,-519.829452356,0.300882,0.316644,0.317588,0.259211,-519.528571,-519.512808,-519.511864,-519.570241,1.1982,1740.982,2399.887,"227.43","0.0042","0.000","206.72","0.1131","0.000","197.28","0.2789","0.000","190.79","0.0068","0.000","179.17","0.0290","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.18","0.0148","0.000","158.53","0.0223","0.000","156.13","0.0095","0.000","N1","-0.475018","-0.851005","-0.58223","1.99926","5.56058","0.02239","7.58223","19.7255","285.3712","-0.425537","-0.33341","1.99898","5.31528","0.01914","7.33341","3","N",1,"-0.475018","-0.851005","-0.58223","1.99926","5.56058","0.02239","7.58223","19.7255","285.3712","-0.425537","-0.33341","1.99898","5.31528","0.01914","7.33341","1","N",0,1,"-0.417511","-0.766861","-0.52265","1.99934","5.51182","0.01149","7.52265","210.2917","59.8293","-0.398677","-0.45651","1.99935","5.44458","0.01258","7.45651","2","C",0,1,0,"0.569710","1.175510","0.62996","1.99917","3.33996","0.03092","5.37004","44.7789","69.4562","0.525273","0.37821","1.99913","3.58838","0.03428","5.62179","4","C",0,1,"0.203980","0.473436","0.12438","1.99911","3.85851","0.01800","5.87562","135.3674","31.4258","0.189158","0.09788","1.99908","3.88404","0.01901","5.90212",0.7233016975539655,0.7233016975539655,0.7732403221460435,0.7625520194006168,0.7790784707044699
"base_3_conf15123","CN(/C(N(C)C)=N\C(C)(C)C)C","C9H21N3",33,0,1,"met",2.1542,171.285,1849.775,2398.962,-0.20161,0.04028,0.080665,0.12094500000000001,0.12094500000000001,-519.829452352,0.300883,0.316645,0.317589,0.259215,-519.528569,-519.512808,-519.511863,-519.570238,1.1976,1566.868,2399.8653,"227.43","0.0042","0.000","206.74","0.1131","0.000","197.28","0.2788","0.000","190.79","0.0068","0.000","179.15","0.0289","0.000","175.67","0.0037","0.000","167.18","0.0078","0.000","161.17","0.0147","0.000","158.52","0.0223","0.000","156.13","0.0094","0.000","N1","-0.474989","-0.850898","-0.58220","1.99926","5.56055","0.02240","7.58220","19.7012","285.4133","-0.425500","-0.33336","1.99898","5.31523","0.01915","7.33336","3","N",1,"-0.474989","-0.850898","-0.58220","1.99926","5.56055","0.02240","7.58220","19.7012","285.4133","-0.425500","-0.33336","1.99898","5.31523","0.01915","7.33336","1","N",0,1,"-0.417494","-0.766821","-0.52264","1.99934","5.51181","0.01149","7.52264","210.2857","59.8242","-0.398679","-0.45654","1.99935","5.44461","0.01258","7.45654","2","C",0,1,0,"0.569681","1.175353","0.62995","1.99917","3.33996","0.03092","5.37005","44.7783","69.4620","0.525246","0.37822","1.99913","3.58837","0.03428","5.62178","4","C",0,1,"0.203961","0.473398","0.12438","1.99911","3.85850","0.01800","5.87562","135.3666","31.4252","0.189138","0.09787","1.99908","3.88404","0.01901","5.90213",0.7233615760007185,0.7233615760007185,0.7733900182629262,0.7624622017304871,0.7790185922577169
