,azadicarboxylate_SMILES_index,phosphine_SMILES_index,solvent_SMILES_index,substrate_concentration_index,azadicarb_equiv_index,phos_equiv_index,temperature_index,yield
91036,O=C(OCC1=CC=CC=C1)/N=N/C(OCC2=CC=CC=C2)=O,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,CC#N,0.05,1.3,1.5,15,11.7
59238,CC(OC(/N=N/C(OC(C)C)=O)=O)C,CN(C1=CC=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)C,CC1=CC=CC=C1,0.1,1.9,1.5,35,18.2
149078,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CN(C1=CC=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)C,CC1=CC=CC=C1,0.05,1.7,1.1,35,1.5
31550,CC(OC(/N=N/C(OC(C)C)=O)=O)C,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,CC1=CC=CC=C1,0.05,1.5,1.1,5,5.7
155877,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.1,1.1,25,76.2
4063,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,CCCCP(CCCC)CCCC,CC1=CC=CC=C1,0.05,1.5,1.5,35,22.3
143560,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CC1=CC=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,CC#N,0.05,1.5,1.5,5,2.3
18630,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,CC#N,0.1,1.1,1.3,5,26.7
136420,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CC1=CC=C(P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1,CC#N,0.2,1.3,1.9,5,23
152336,CN(C(/N=N/C(N(C)C)=O)=O)C,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,CC(OCC)=O,0.15,1.7,1.5,15,2.3
