,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,2.83,0.0,13.85,19.84,4.09,43.22,17.63,28.4,92.19,52.47,84.03,98.38,99.81,99.22,71.81,84.49,83.22,28.9,61.33,74.3,80.39,0.51,32.21,87.59,2.79,27.79,84.67,78.44,78.93,44.47,78.6,70.8,31.66,100.0,49.48,72.21,76.24,62.04,98.49,100.0,38.48,48.91,83.25,80.86,11.99,71.43,77.01,61.67,96.38,19.95,0.89,79.1,69.2,53.52,99.98,78.19,58.4,6.1,88.82,23.23,0.0,71.11,51.83,91.11,50.7,5.62,91.27,82.13,3.69,80.65,28.06,81.48,11.68,85.21,5.65,53.46,64.12,89.14,21.88,5.4,77.58,82.28,68.31,31.53,87.0,28.53,48.86,84.48,59.05,13.87,89.71,2.52,67.85,52.56,50.75,89.17,3.51,81.63,83.62,50.69
1,31.85,0.0,2.95,7.25,98.49,95.48,26.39,28.9,84.03,52.23,1.68,62.75,92.03,99.81,99.22,100.0,74.3,92.19,92.19,62.33,84.49,31.66,100.0,53.11,99.98,80.39,77.01,96.38,80.65,71.81,40.06,84.67,50.74,2.33,2.79,61.67,83.25,91.11,87.59,81.63,77.58,32.21,78.6,6.23,52.08,88.41,1.89,61.33,53.02,91.19,79.33,62.07,78.6,43.84,36.46,87.83,72.89,80.69,98.38,80.86,89.71,83.22,91.06,50.7,22.88,89.17,45.85,91.27,11.19,78.19,63.61,84.64,32.5,79.1,23.23,58.4,71.43,89.76,44.25,60.29,84.81,55.4,89.95,53.52,43.12,86.46,53.43,43.22,78.93,26.48,84.62,91.39,27.88,50.75,6.48,5.65,84.48,83.85,90.39,14.06
2,0.0,53.81,42.04,23.51,0.0,0.0,21.5,69.03,49.57,71.81,43.22,52.23,36.46,99.98,44.47,63.2,99.22,80.86,30.17,62.33,8.82,77.01,95.48,50.74,98.38,84.49,83.22,81.63,100.0,92.19,80.39,78.19,70.8,43.84,87.0,84.67,0.51,96.38,99.81,2.33,84.48,91.39,89.95,98.49,2.79,88.41,71.11,75.39,89.76,100.0,30.21,91.27,5.55,81.66,91.11,45.85,84.64,79.1,76.24,78.93,83.25,87.59,50.7,52.56,50.75,7.02,66.03,58.4,48.91,83.85,88.41,86.46,63.61,89.71,90.39,84.81,48.86,84.62,91.06,52.08,77.58,39.32,78.6,67.21,80.69,62.07,0.0,18.26,92.03,4.87,6.18,53.49,41.1,69.2,50.69,54.26,73.33,76.63,40.04,44.22
3,32.36,7.84,0.0,7.74,49.19,50.55,4.98,36.29,58.13,2.49,0.0,3.25,31.53,64.48,77.52,51.32,50.74,75.46,33.69,80.65,9.61,15.64,71.43,80.86,71.81,43.22,62.15,76.66,50.75,60.29,73.33,80.39,70.51,0.0,44.47,62.07,82.28,48.34,48.91,98.38,38.79,83.22,96.64,99.81,92.19,87.59,87.59,89.95,92.03,98.49,61.09,87.0,100.0,99.22,20.51,89.76,91.11,91.11,81.63,100.0,31.55,83.25,83.25,24.55,2.77,13.31,83.85,83.85,23.3,11.99,90.39,91.06,43.84,0.97,13.02,2.58,84.48,67.21,69.2,19.95,23.71,84.62,81.66,84.67,84.49,80.77,53.49,76.63,77.01,62.33,89.17,0.0,6.23,70.8,0.0,26.12,48.86,40.06,44.48,50.69
4,7.69,0.0,0.0,8.23,0.0,16.76,45.01,74.3,39.57,10.49,18.38,52.08,78.93,68.17,53.02,0.89,37.37,99.81,53.11,31.43,89.95,98.49,98.38,92.19,44.47,96.64,84.03,87.0,99.22,80.86,79.1,95.48,52.23,100.0,62.33,38.79,80.39,78.19,7.54,83.25,84.49,78.6,83.22,81.63,100.0,77.58,31.51,89.76,91.11,83.85,38.79,51.83,84.67,76.24,87.59,58.4,61.67,61.09,9.96,99.98,6.23,88.82,96.38,80.65,71.81,19.64,82.33,16.95,50.75,52.47,84.48,48.34,50.74,3.04,20.72,61.0,91.27,88.41,67.21,43.84,89.71,18.61,91.06,83.62,53.52,53.46,43.22,75.39,90.39,78.6,62.07,0.0,53.49,50.7,92.03,88.89,2.72,65.32,5.9,14.06
5,0.0,61.0,0.0,3.43,0.0,68.86,77.58,26.97,27.79,82.13,40.47,16.57,5.16,3.96,2.9,43.2,79.33,0.0,61.86,96.64,83.22,30.41,89.95,95.48,46.42,61.71,88.41,78.6,92.03,50.74,89.71,81.63,83.62,81.48,5.9,53.46,45.85,91.27,3.51,78.19,35.61,84.64,89.14,22.07,68.17,89.17,26.56,62.04,31.53,12.23,66.84,38.48,72.21,84.49,21.88,72.9,79.1,18.16,16.77,85.21,31.18,40.02,12.54,91.06,92.19,55.96,7.02,83.85,91.39,100.0,22.31,9.46,90.39,84.03,53.52,32.71,88.89,91.11,17.63,98.49,2.13,87.62,61.09,100.0,99.81,57.33,83.25,87.59,4.66,63.2,8.52,44.28,84.48,99.22,80.86,18.38,71.43,89.76,50.75,98.38
6,19.55,3.68,0.0,0.0,4.53,5.92,1.27,28.53,51.83,5.22,11.91,78.19,52.08,85.21,98.38,96.64,28.9,99.81,99.22,80.86,89.95,22.07,92.19,27.41,45.73,5.95,95.48,36.97,99.98,6.48,84.49,50.74,96.38,80.65,71.81,80.39,83.22,83.22,81.63,91.19,88.41,87.59,91.39,92.03,43.12,77.58,38.48,77.01,100.0,80.69,84.48,70.8,98.49,100.0,44.47,89.76,83.25,91.11,91.11,2.33,0.0,84.67,6.23,36.73,50.69,82.28,83.85,87.0,52.56,69.2,89.17,48.86,58.4,90.39,30.17,61.0,71.43,91.06,50.75,60.29,89.71,66.27,78.6,83.62,19.28,91.27,67.21,64.12,78.6,50.7,45.85,72.21,79.1,62.04,89.14,11.19,45.62,14.81,5.4,78.93
7,0.95,0.0,0.0,10.05,20.22,9.35,6.44,5.15,24.55,37.3,52.2,33.6,10.66,18.95,23.8,0.85,37.93,37.37,52.23,57.68,77.52,61.09,63.2,22.65,20.67,89.95,95.48,76.66,50.74,75.46,81.63,38.8,96.64,96.64,92.03,83.22,83.22,98.38,99.81,92.19,0.89,87.59,87.59,87.59,83.85,84.67,87.0,0.0,99.22,52.47,38.79,80.39,84.49,78.6,76.24,38.48,27.8,77.01,48.91,68.31,48.34,31.14,100.0,80.86,80.65,61.67,70.8,100.0,2.33,40.26,2.79,91.11,13.87,98.49,53.52,89.76,70.51,91.06,36.32,85.21,75.12,67.21,43.12,39.57,20.72,84.48,73.33,72.24,76.85,36.97,66.03,84.62,2.72,20.5,87.62,77.58,75.4,75.39,90.39,50.75
8,43.22,10.25,5.22,29.96,87.0,17.63,8.45,95.48,84.03,80.86,38.8,89.95,81.48,63.2,99.22,83.85,98.38,92.19,92.19,92.19,0.89,0.97,53.52,99.81,20.51,2.45,98.49,74.3,36.46,99.98,78.19,25.45,50.74,78.93,27.41,91.27,84.49,83.22,81.63,62.33,1.62,89.71,88.41,83.62,28.06,38.78,80.61,76.33,45.85,60.68,38.48,84.67,77.01,92.03,100.0,84.81,62.32,89.14,100.0,80.65,86.46,77.58,82.13,37.37,91.19,48.91,70.8,87.62,62.04,22.07,89.17,0.0,78.44,91.06,85.21,84.48,68.31,91.11,0.0,19.13,28.53,6.1,87.59,11.68,96.38,61.0,31.51,48.86,75.12,80.69,40.06,80.39,78.6,52.08,60.29,88.89,84.64,78.6,43.84,69.2
9,43.22,0.0,5.49,26.29,0.0,43.2,11.5,61.86,39.32,21.88,21.74,7.02,45.62,25.35,46.42,32.71,0.0,0.0,9.35,31.14,77.58,92.03,28.9,52.23,9.32,91.06,89.95,95.48,19.71,92.19,62.07,81.63,91.39,61.09,99.22,83.85,27.88,50.74,100.0,99.81,83.25,87.59,43.84,100.0,2.33,91.11,98.49,98.49,98.49,98.38,89.76,89.76,83.22,83.22,87.0,38.79,40.06,76.59,50.75,43.12,68.71,66.84,45.01,0.0,30.03,2.52,84.49,72.24,90.39,19.95,12.44,51.83,71.97,2.9,63.88,4.3,58.4,3.77,31.32,52.08,53.46,3.14,81.48,50.7,80.65,88.41,8.52,18.61,6.44,53.52,0.04,91.27,89.14,22.07,44.4,89.17,79.1,13.87,85.21,49.48
