Ligand,Initial_Number,Ligand_SMILES,Ligand_SMILES_mapped-cdx,Ligand_SMILES_mapped
BrettPhos,2,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(C1=C(C2=C(OC)C=CC(OC)=[2C]2[1P]([4C]3CCCCC3)[3C]4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(C1=C(C2=C(OC)C=CC(OC)=[C:2]2[P:1]([C:4]3CCCCC3)[C:3]4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C
PPhtBu2,64,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,C[4C]([1P]([3C](C)(C)C)[2C]1=CC=CC=C1)(C)C,C[C:4]([P:1]([C:3](C)(C)C)[C:2]1=CC=CC=C1)(C)C
tBPh-CPhos,67,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=[2C]2[1P]([4C](C)(C)C)[3C]3=CC=CC=C3,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=[C:2]2[P:1]([C:4](C)(C)C)[C:3]3=CC=CC=C3
PCy3 HBF4,28,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[1P]([4C]1CCCCC1)([3C]2CCCCC2)[2C]3CCCCC3,[P:1]([C:4]1CCCCC1)([C:3]2CCCCC2)[C:2]3CCCCC3
PPh3,38,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,[1P]([4C]1=CC=CC=C1)([3C]2=CC=CC=C2)[2C]3=CC=CC=C3,[P:1]([C:4]1=CC=CC=C1)([C:3]2=CC=CC=C2)[C:2]3=CC=CC=C3
X-Phos,45,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(C1=C(C2=CC=CC=[2C]2[1P]([3C]3CCCCC3)[4C]4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(C1=C(C2=CC=CC=[C:2]2[P:1]([C:3]3CCCCC3)[C:4]4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C
P(fur)3,53,P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3,[1P]([4C]1=CC=CO1)([3C]2=CC=CO2)[2C]3=CC=CO3,[P:1]([C:4]1=CC=CO1)([C:3]2=CC=CO2)[C:2]3=CC=CO3
PPh2Me,62,CP(C1=CC=CC=C1)C2=CC=CC=C2,[4C][1P]([3C]1=CC=CC=C1)[2C]2=CC=CC=C2,[C:4][P:1]([C:3]1=CC=CC=C1)[C:2]2=CC=CC=C2
GorlosPhos HBF4,17,CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C,CC(OC1=[2C]([1P]([3C]2CCCCC2)[4C]3CCCCC3)C(OC(C)C)=CC=C1)C,CC(OC1=[C:2]([P:1]([C:3]2CCCCC2)[C:4]3CCCCC3)C(OC(C)C)=CC=C1)C
JackiePhos,50,FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,FC(F)(F)C1=C[3C]([1P]([2C]2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)[4C]4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,FC(F)(F)C1=C[C:3]([P:1]([C:2]2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)[C:4]4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1
CgMe-PPh,48,C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1,C[C@]1(O2)O[C@](C[4C]2(C)[1P]3[2C]4=CC=CC=C4)(C)O[3C]3(C)C1,C[C@]1(O2)O[C@](C[C:4]2(C)[P:1]3[C:2]4=CC=CC=C4)(C)O[C:3]3(C)C1
PPhMe2,70,CP(C)C1=CC=CC=C1,[4C][1P]([3C])[2C]1=CC=CC=C1,[C:4][P:1]([C:3])[C:2]1=CC=CC=C1
